TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f1	1600002H07Rik	0.48819	39.53	0.527	rgb(223,116,117)	1.7715	2,2
E2f6	1700061F12Rik	0.8715	49.47	0.47	rgb(222,127,128)	1.9706	2,2
Klf5	1700061F12Rik	0.84434	49.23	0.227	rgb(220,174,174)	1.9658	2,2
E2f1	2700094K13Rik	0.68367	45.13	0.126	rgb(218,193,193)	1.8837	2,2
E2f1	4930404I05Rik	0.76239	46.58	0.576	rgb(223,107,108)	1.9127	2,2
E2f1	4930412O13Rik	0.14758	32.08	0.076	rgb(218,202,203)	1.6223	2,2
E2f1	9230102O04Rik	0.14428	32.02	0.021	rgb(217,213,213)	1.6211	2,2
E2f1	9430020K01Rik	0.092895	31.14	0.143	rgb(219,190,190)	1.6035	2,2
E2f1	A630033H20Rik	0.62819	43.37	0.366	rgb(221,147,148)	1.8484	2,2
Klf5	Abcb9	0.70396	45.39	0.393	rgb(221,142,143)	1.8889	None
Klf5	Abcc8	0.97445	50.61	0.615	rgb(224,100,101)	1.9934	None
E2f6	Abi3	0.48163	39.13	0.129	rgb(218,192,193)	1.7635	None
Klf5	Acp5	0.42714	37.44	0.442	rgb(222,133,133)	1.7297	None
E2f1	Acsl3	0.87864	49.53	0.533	rgb(223,115,116)	1.9718	None
E2f6	Acsl3	0.84523	49.24	0.238	rgb(220,172,172)	1.966	None
Klf5	Acsl3	0.72133	46.1	0.104	rgb(218,197,197)	1.9031	None
Klf5	Acss1	0.99243	50.73	0.734	rgb(225, 77, 78)	1.9958	None
Klf5	Acss2	0.97546	50.62	0.622	rgb(224, 98, 99)	1.9936	None
E2f1	Actn2	0.095996	31.55	0.551	rgb(223,112,113)	1.6117	2,2
Klf5	Actn3	0.22392	34.18	0.181	rgb(219,182,183)	1.6644	2,2
Klf5	Actr1a	0.34297	35.5	0.502	rgb(223,121,122)	1.6908	None
Klf5	Adam19	0.89339	50.2	0.494	rgb(222,123,124)	1.9852	None
Klf5	Adamts1	0.25207	34.07	0.069	rgb(218,204,204)	1.6622	None
E2f1	Adamts20	0.91144	50.36	0.359	rgb(221,148,149)	1.9884	None
E2f6	Adamts4	0.31306	35.55	0.55	rgb(223,112,113)	1.6918	2,2
Klf5	Adar	0.944	50.49	0.485	rgb(222,124,125)	1.991	None
E2f1	Adcy3	0.7442	46.42	0.424	rgb(222,136,137)	1.9095	None
Klf5	Adcy3	0.7189	45.42	0.42	rgb(222,137,138)	1.8895	None
Klf5	Adcy4	0.46538	38.4	0.405	rgb(221,140,141)	1.7489	None
E2f1	Adcy9	0.90489	50.32	0.319	rgb(221,156,157)	1.9876	None
E2f6	Adcy9	0.55012	41.33	0.335	rgb(221,153,154)	1.8076	None
Klf5	Adcy9	0.16081	32.21	0.205	rgb(219,178,178)	1.6249	None
E2f6	Adora2a	0.95347	50.53	0.526	rgb(223,117,118)	1.9918	None
Klf5	Adora2a	0.9914	50.72	0.723	rgb(225, 79, 80)	1.9956	None
E2f1	Agap1	0.35041	36.11	0.107	rgb(218,197,197)	1.703	None
E2f6	Agap1	0.7651	47.24	0.238	rgb(220,171,172)	1.9259	None
E2f6	Agtpbp1	0.019087	30.34	0.345	rgb(221,151,152)	1.5875	2,2
E2f1	Aim1	0.72702	46.23	0.232	rgb(220,173,173)	1.9057	None
Klf5	Aim1	0.9914	50.72	0.715	rgb(225, 80, 82)	1.9956	None
E2f1	Akap1	0.9914	50.72	0.718	rgb(225, 80, 81)	1.9956	None
Klf5	Akap12	0.98035	50.64	0.642	rgb(224, 94, 96)	1.994	None
E2f6	Aldoa	0.73059	46.04	0.042	rgb(217,209,209)	1.9019	None
Klf5	Aldoa	0.13931	31.47	0.473	rgb(222,127,128)	1.6101	None
Klf5	Ampd3	0.82139	48.39	0.385	rgb(221,143,144)	1.9489	None
E2f1	Amph	0.77364	47.26	0.259	rgb(220,168,168)	1.9263	None
E2f1	Ankrd13b	0.90975	50.35	0.351	rgb(221,150,151)	1.9882	None
Klf5	Ankrd13b	0.98249	50.65	0.652	rgb(224, 92, 94)	1.9942	None
E2f6	Ano1	0.92901	50.44	0.439	rgb(222,133,134)	1.99	None
E2f1	Anp32a	0.0053755	30.26	0.261	rgb(220,167,168)	1.5859	None
Klf5	Anp32b	0.82859	48.46	0.463	rgb(222,129,129)	1.9503	None
Klf5	Antxr2	0.30368	35.12	0.123	rgb(218,194,194)	1.6832	None
