TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Onecut2	1110028F11Rik	0.36935	36.31	0.314	rgb(220,157,158)	1.707	2,2
Ehf	2310057J18Rik	0.88581	49.62	0.616	rgb(224, 99,101)	1.9736	2,2
Onecut2	2310057J18Rik	0.48147	39.12	0.144	rgb(219,189,190)	1.7633	2,2
Elf3	4921513I03Rik	0.016111	30.32	0.362	rgb(221,148,149)	1.5871	2,2
Onecut2	4921536K21Rik	0.54023	40.36	0.423	rgb(222,136,137)	1.7881	2,2
Onecut2	4933413J09Rik	0.47094	39.32	0.379	rgb(221,145,145)	1.7673	2,2
Ehf	5330417C22Rik	0.3998	37.18	0.264	rgb(220,167,167)	1.7245	2,2
Onecut2	6330416G13Rik	0.48475	39.47	0.467	rgb(222,128,129)	1.7703	2,2
Onecut2	6430531B16Rik	0.3823	37.29	0.291	rgb(220,161,162)	1.7267	2,2
Onecut2	9130015A21Rik	0.12831	31.37	0.367	rgb(221,147,148)	1.6081	2,2
Ehf	A4gnt	0.98665	50.68	0.682	rgb(225, 87, 88)	1.9948	2,2
Onecut2	A4gnt	0.21513	33.24	0.244	rgb(220,170,171)	1.6456	2,2
Onecut2	A530099J19Rik	0.7106	45.33	0.422	rgb(222,136,137)	1.8877	2,2
Ehf	AA986860	0.18239	32.36	0.359	rgb(221,148,149)	1.628	2,2
Ehf	Aatf	0.095996	31.55	0.549	rgb(223,112,113)	1.6117	2,2
Onecut2	Aatf	0.18239	32.36	0.361	rgb(221,148,149)	1.628	2,2
Ehf	Acad9	0.062434	30.33	0.42	rgb(222,137,138)	1.5873	2,2
Ehf	Ace	0.78984	47.44	0.445	rgb(222,132,133)	1.9299	2,2
Onecut2	Acox3	0.38093	37.28	0.343	rgb(221,151,152)	1.7265	2,2
Elf3	Adamts1	0.13674	32.34	0.343	rgb(221,151,152)	1.6276	2,2
Onecut2	Adamts1	0.069461	30.37	0.374	rgb(221,146,146)	1.5881	2,2
Ehf	Adh1	0.423	37.4	0.403	rgb(221,140,141)	1.7289	2,2
Onecut2	Adh1	0.081661	31.36	0.363	rgb(221,148,148)	1.6079	2,2
Onecut2	Aif1	0.73821	46.36	0.453	rgb(222,130,131)	1.9083	2,2
Onecut2	Ak5	0.74864	46.47	0.472	rgb(222,127,128)	1.9105	2,2
Elf3	Aldh5a1	0.78984	47.44	0.441	rgb(222,133,134)	1.9299	2,2
Onecut2	Amz1	0.70653	45.42	0.423	rgb(222,136,137)	1.8895	2,2
Onecut2	Ank2	0.39582	37.41	0.41	rgb(222,139,140)	1.7291	2,2
Onecut2	Ankrd54	0.58423	41.46	0.609	rgb(224,101,102)	1.8102	2,2
Onecut2	Anpep	0.2081	33.18	0.182	rgb(219,182,183)	1.6444	2,2
Ehf	Ap3m2	0.36663	36.29	0.292	rgb(220,161,162)	1.7066	2,2
Elf3	Arc	0.52906	40.33	0.329	rgb(221,154,155)	1.7875	2,2
Onecut2	Arhgap20	0.05469	30.28	0.278	rgb(220,164,164)	1.5863	2,2
Onecut2	Arhgef28	0.43082	37.5	0.543	rgb(223,113,114)	1.7309	2,2
Ehf	Atl2	0.23948	33.41	0.412	rgb(222,138,139)	1.649	2,2
Ehf	Atp1a3	0.13127	31.39	0.386	rgb(221,143,144)	1.6085	2,2
Ehf	Atp8b1	0.71505	45.38	0.379	rgb(221,145,145)	1.8887	2,2
Ehf	BC048546	0.068479	31.28	0.28	rgb(220,164,164)	1.6063	2,2
Onecut2	BC048546	0.30167	35.38	0.377	rgb(221,145,146)	1.6884	2,2
Onecut2	Bag1	0.75337	46.54	0.539	rgb(223,114,115)	1.9119	2,2
Ehf	Boc	0.3242	36.18	0.185	rgb(219,182,182)	1.7044	2,2
Ehf	Ccbl2	0.17085	32.28	0.276	rgb(220,164,165)	1.6264	2,2
Onecut2	Ccr1l1	0.23462	33.37	0.372	rgb(221,146,147)	1.6482	2,2
Onecut2	Cd83	0.12831	31.37	0.366	rgb(221,147,148)	1.6081	2,2
Ehf	Cdc26	0.61491	42.44	0.436	rgb(222,134,135)	1.8298	2,2
Ehf	Ceacam1	0.35999	36.23	0.265	rgb(220,166,167)	1.7054	2,2
Elf3	Ceacam1	0.26055	34.49	0.486	rgb(222,124,125)	1.6706	2,2
Onecut2	Cep112	0.61793	42.44	0.44	rgb(222,133,134)	1.8298	2,2
Onecut2	Cers4	0.0086631	30.28	0.284	rgb(220,163,163)	1.5863	2,2
Ehf	Ckmt1	0.86533	49.42	0.421	rgb(222,137,137)	1.9696	2,2
Elf3	Ckmt1	0.083328	31.37	0.368	rgb(221,147,148)	1.6081	2,2
Onecut2	Ckmt1	0.438	38.12	0.216	rgb(219,176,176)	1.7433	2,2
Ehf	Cldn7	0.8356	48.54	0.536	rgb(223,115,116)	1.9519	2,2
Ehf	Clic6	0.67727	44.35	0.377	rgb(221,145,146)	1.868	2,2
Ehf	Clip1	0.50154	39.36	0.452	rgb(222,131,131)	1.7681	2,2
Onecut2	Clip2	0.059255	30.31	0.313	rgb(220,157,158)	1.5869	2,2
Onecut2	Cpb1	0.79586	47.64	0.643	rgb(224, 94, 95)	1.9339	2,2
Onecut2	Crat	0.56323	41.46	0.456	rgb(222,130,131)	1.8102	2,2
Elf3	Cryl1	0.19279	33.34	0.345	rgb(221,151,152)	1.6476	2,2
Onecut2	Ctla4	0.30271	35.39	0.386	rgb(221,143,144)	1.6886	2,2
Ehf	Ctrb1	0.32158	36.15	0.242	rgb(220,171,171)	1.7038	2,2
Onecut2	Ctrb1	0.57462	41.35	0.359	rgb(221,148,149)	1.808	2,2
Onecut2	Cyp2j9	0.65542	43.49	0.528	rgb(223,116,117)	1.8508	2,2
Ehf	Cyp4f13	0.12214	32.25	0.248	rgb(220,170,170)	1.6258	2,2
Ehf	Cyr61	0.09034	31.11	0.113	rgb(218,195,196)	1.6029	2,2
Elf3	Cyr61	0.47407	39.35	0.354	rgb(221,149,150)	1.7679	2,2
Onecut2	Dak	0.28007	34.34	0.343	rgb(221,151,152)	1.6676	2,2
Elf3	Dcun1d4	0.10846	31.25	0.25	rgb(220,169,170)	1.6057	2,2
Ehf	Ddhd1	0.12022	31.32	0.39	rgb(221,143,143)	1.6071	2,2
Onecut2	Dhx58	0.52473	40.2	0.216	rgb(219,176,176)	1.7849	2,2
Ehf	Dmd	0.31242	35.22	0.216	rgb(219,176,176)	1.6852	2,2
Onecut2	Dnajb2	0.33646	35.41	0.412	rgb(222,138,139)	1.689	2,2
Onecut2	Dnajb4	0.38344	36.43	0.431	rgb(222,135,136)	1.7095	2,2
Onecut2	Dym	0.010829	29.39	0.392	rgb(221,142,143)	1.5685	2,2
